스테이지 ID,등장 손님 ID,주문 수,레벨 수치 ID,스테이지 레시피 묶음 ID,스테이지 배수,퍼즐 보드 ID,골드 최대 획득량
3083,1003,3,1,1504,5,4080,
3084,1007,4,3,1501,5,4081,
3085,1004,3,1,1515,5,4082,
3086,1002,2,1,1520,5,4083,
3087,1003,2,3,1505,5,4084,
3088,1009,3,1,1503,5,4085,
3089,1001,2,1,1515,5,4086,
3090,1004,2,3,1517,5,4087,
3091,1002,3,1,1520,5.5,4088,
3092,1007,5,1,1501,5.5,4089,
3093,1001,2,3,1504,5.5,4090,
3094,1002,3,1,1520,5.5,4091,
3095,1009,4,1,1503,5.5,4092,
3096,1004,2,3,1511,5.5,4093,
3097,1002,2,1,1515,5.5,4094,
3098,1008,3,1,1502,5.5,4095,
3099,1007,5,1,1501,5.8,4096,
3100,1005,4,1,1520,5.8,4097,
3101,1002,2,3,1515,5.8,4098,
3102,1008,3,1,1502,5.8,4099,
3103,1006,2,3,1508,5.8,4199,
3104,1005,3,3,1518,5.8,4200,
3105,1008,4,3,1502,5.8,4201,
3106,1005,4,1,1507,6,4100,
3107,1001,2,1,1514,6,4101,
3108,1004,3,3,1515,6,4102,
3109,1007,3,1,1501,6,4103,
3110,1003,4,1,1517,6,4104,
3111,1008,3,3,1502,6,4105,
3112,1001,3,1,1520,6,4106,
3113,1003,2,1,1504,6,4107,
3114,1007,3,1,1501,6,4108,
3115,1003,2,3,1504,6,4109,
3116,1001,3,1,1514,6,4110,
3117,1009,5,1,1503,6,4111,
3118,1005,3,3,1518,6,4202,
3119,1001,2,3,1506,6,4203,
3120,1002,3,3,1520,6,4204,
3121,1005,2,1,1520,6.5,4112,
3122,1003,2,1,1506,6.5,4113,
3123,1007,4,3,1501,6.5,4114,
3124,1002,2,1,1504,6.5,4115,
3125,1006,2,1,1519,6.5,4116,
3126,1009,3,1,1503,6.5,4117,
3127,1004,3,3,1518,6.5,4118,
3128,1007,4,1,1501,6.5,4119,
3129,1004,2,1,1516,6.5,4120,
3130,1005,3,1,1506,6.5,4121,
3131,1003,3,3,1515,6.5,4122,
3132,1006,2,1,1520,6.5,4123,
3133,1008,4,1,1502,7,4124,
3134,1005,4,1,1514,7,4125,
3135,1004,2,3,1504,7,4126,
3136,1009,5,1,1503,7,4127,
3137,1004,3,1,1520,7,4128,
3138,1002,2,1,1505,7,4129,
3139,1003,2,1,1516,7,4130,
3140,1007,3,1,1501,7,4131,
3141,1005,2,1,1511,7,4132,
3142,1002,3,1,1518,7,4133,
3143,1008,4,1,1502,7,4134,
3144,1003,3,1,1511,7,4135,
3145,1009,5,1,1503,7.5,4136,
3146,1001,2,1,1520,7.5,4137,
3147,1007,3,3,1501,7.5,4138,
3148,1005,2,1,1514,7.5,4139,
3149,1003,3,1,1507,7.5,4140,
3150,1002,3,1,1513,7.5,4141,
3151,1008,4,1,1502,7.5,4142,
3152,1003,2,1,1509,7.5,4143,
3153,1002,2,1,1509,7.8,4144,
3154,1007,5,1,1501,7.8,4145,
3155,1004,2,1,1515,7.8,4146,
3156,1009,3,3,1503,7.8,4147,
3157,1006,2,3,1505,7.8,4205,
3158,1003,3,3,1515,7.8,4206,
3159,1007,3,3,1501,7.8,4207,
3160,1004,4,3,1513,7.8,4208,
3161,1003,2,1,1508,8,4148,
3162,1001,3,1,1507,8,4149,
3163,1008,4,3,1502,8,4150,
3164,1005,2,1,1520,8,4151,
3165,1003,4,1,1510,8,4152,
3166,1002,2,1,1513,8,4153,
3167,1006,3,1,1512,8,4154,
3168,1007,3,1,1501,8,4155,
3169,1003,2,3,1510,8,4156,
3170,1004,3,1,1514,8,4157,
3171,1008,4,1,1502,8,4158,
3172,1006,2,1,1512,8,4159,
3173,1009,4,1,1503,8.5,4160,
3174,1002,2,1,1512,8.5,4161,
3175,1005,3,1,1505,8.5,4162,
3176,1007,3,1,1501,8.5,4163,
3177,1001,4,1,1519,8.5,4164,
3178,1008,3,1,1502,8.5,4165,
3179,1005,2,1,1516,8.5,4166,
3180,1001,3,1,1511,8.5,4167,
3181,1007,5,1,1501,9,4168,
3182,1002,2,1,1515,9,4169,
3183,1009,3,3,1503,9,4170,
3184,1005,2,1,1513,9,4171,
3185,1007,4,3,1501,9,4209,
3186,1002,2,3,1517,9,4210,
3187,1005,2,3,1517,9,4211,
3188,1008,4,3,1502,9,4212,
3189,1004,3,1,1511,10,4172,
3190,1007,3,3,1501,10,4173,
3191,1001,3,1,1519,10,4174,
3192,1009,5,1,1503,10,4175,
3193,1004,2,1,1510,10,4176,
3194,1008,3,1,1502,10,4177,
3195,1005,2,1,1507,10,4178,
3196,1003,4,1,1509,10,4179,
3197,1007,4,3,1501,10,4180,
3198,1004,2,1,1506,10,4181,
3199,1003,3,1,1518,10,4182,
3200,1008,5,1,1502,10,4183,
3201,1006,2,3,1508,10.5,4213,
3202,1005,3,3,1514,10.5,4214,
3203,1003,4,3,1511,10.5,4215,
3204,1006,3,3,1508,10.5,4216,
3205,1009,5,1,1503,10.5,4184,
3206,1002,2,1,1504,10.5,4185,
3207,1005,3,1,1514,10.5,4186,
3208,1007,5,1,1501,10.5,4187,
3209,1001,4,1,1507,10.5,4188,
3210,1008,3,1,1502,11,4189,
3211,1005,2,3,1514,11,4190,
3212,1001,3,1,1504,11,4191,
3213,1007,5,1,1501,11,4192,
3214,1002,4,1,1504,11,4193,
3215,1009,5,3,1503,11,4194,
3216,1005,2,1,1514,11,4195,
3217,1007,5,3,1501,12,4217,
3218,1002,2,3,1504,12,4218,
3219,1005,2,3,1514,12,4219,
3220,1008,5,3,1502,12,4220,
