대사 ID,대사 그룹,순서,좌측 스피커 ID,중앙 스피커 ID,우측 스피커 ID,"스피커 체크(0,1,2)",대사 스트링 ID,배경 이미지 경로,배경음 사운드 ID,효과음 사운드 ID,,,,
6025,5,250,speaker_Lulu,speaker_momo,speaker_Toto,0,string_ch01_Lulu_6001,,,,스테이지 3 클리어 직후 출력,,,
6026,5,260,speaker_Lulu,speaker_momo,speaker_Toto,1,string_ch01_momo_6001,,,,,,,
6027,5,270,speaker_Lulu,speaker_momo,speaker_Toto,2,string_ch01_Toto_6001,,,,,,,
6028,5,280,speaker_meow,,speaker_Fifi,2,string_ch01_Fifi_6001,,,,,,,
6029,5,290,speaker_meow,,speaker_Fifi,0,string_ch01_meow_6001,,,,,,,
6030,6,300,speaker_meow,,speaker_Fifi,2,string_ch01_Fifi_6002,,,,가구 배치율 50%에 출력,,,
6031,6,310,speaker_meow,,speaker_Fifi,0,string_ch01_meow_6002,,,,,,,
6032,7,320,speaker_meow,,speaker_Fifi,2,string_ch01_Fifi_6003,,,,가구 배치율 100%에 출력,,,
6033,7,330,speaker_meow,,speaker_Fifi,0,string_ch01_meow_6003,,,,,,,
6034,7,340,speaker_meow,,speaker_Fifi,2,string_ch01_Fifi_6004,,,,,,,
6035,7,350,speaker_meow,,speaker_Fifi,0,string_ch01_meow_6004,,,,,,,
6036,8,360,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6037,8,370,speaker_meow,,speaker_Fifi,0,string_ch02_meow_6001,,,,,,,
6038,8,380,,speaker_Kiki,,1,string_ch02_Kiki_6001,,,,,,,
6039,9,390,speaker_Lulu,,speaker_Leo,0,string_ch02_Lulu_6001,,,,가구 배치율 50%에 출력,,,
6040,9,400,speaker_Lulu,,speaker_Leo,2,string_ch02_Leo_6001,,,,,,,
6041,9,410,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6002,,,,,,,
6042,9,420,speaker_meow,,speaker_Fifi,0,string_ch02_meow_6002,,,,,,,
6043,10,430,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6003,,,,가구 배치율 100%에 출력,,,
6044,10,440,speaker_meow,,speaker_Fifi,0,string_ch02_meow_6003,,,,,,,
6045,10,450,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6004,,,,,,,
6046,10,460,speaker_meow,,speaker_Fifi,0,string_ch02_meow_6004,,,,,,,
6047,10,470,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6005,,,,,,,
6048,10,480,speaker_meow,,speaker_Fifi,2,string_ch02_Fifi_6006,,,,,,,
6049,10,490,speaker_meow,,speaker_Fifi,0,string_ch02_meow_6005,,,,,,,
6050,11,500,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6051,11,510,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6001,,,,,,,
6052,11,520,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6002,,,,,,,
6053,11,530,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6002,,,,,,,
6054,11,540,speaker_Uni,speaker_Milo,speaker_Ollie,0,string_ch03_Uni_6001,,,,,,,
6055,11,550,speaker_Uni,speaker_Milo,speaker_Ollie,1,string_ch03_Milo_6001,,,,,,,
6056,11,560,speaker_Uni,speaker_Milo,speaker_Ollie,2,string_ch03_Ollie_6001,,,,,,,
6057,12,570,speaker_Toto,,speaker_momo,0,string_ch03_Toto_6001,,,,가구 배치율 50%에 출력,,,
6058,12,580,speaker_Toto,,speaker_momo,2,string_ch03_momo_6001,,,,,,,
6059,12,590,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6003,,,,,,,
6060,12,600,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6003,,,,,,,
6061,12,610,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6004,,,,,,,
6062,12,620,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6004,,,,,,,
6063,13,630,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6005,,,,가구 배치율 100%에 출력,,,
6064,13,640,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6005,,,,,,,
6065,13,650,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6006,,,,,,,
6066,13,660,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6006,,,,,,,
6067,13,670,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6008,,,,,,,
6068,13,680,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6007,,,,,,,
6069,13,690,speaker_meow,,speaker_Fifi,2,string_ch03_Fifi_6009,,,,,,,
6070,13,700,speaker_meow,,speaker_Fifi,0,string_ch03_meow_6008,,,,,,,
6071,14,710,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6072,14,720,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6001,,,,,,,
6073,14,730,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6002,,,,,,,
6074,14,740,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6002,,,,,,,
6075,14,750,speaker_Uni,,speaker_Leo,0,string_ch04_Uni_6001,,,,,,,
6076,14,760,speaker_Uni,,speaker_Leo,2,string_ch04_Leo_6001,,,,,,,
6077,15,770,speaker_Bambi,,speaker_Kiki,0,string_ch04_Bambi_6001,,,,가구 배치율 50%에 출력,,,
6078,15,780,speaker_Bambi,,speaker_Kiki,2,string_ch04_Kiki_6001,,,,,,,
6079,15,790,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6003,,,,,,,
6080,15,800,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6003,,,,,,,
6081,15,810,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6004,,,,,,,
6082,15,820,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6004,,,,,,,
6083,16,830,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6005,,,,가구 배치율 100%에 출력,,,
6084,16,840,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6005,,,,,,,
6085,16,850,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6006,,,,,,,
6086,16,860,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6007,,,,,,,
6087,16,870,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6006,,,,,,,
6088,16,880,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6008,,,,,,,
6089,16,890,speaker_meow,,speaker_Fifi,0,string_ch04_meow_6007,,,,,,,
6090,16,900,speaker_meow,,speaker_Fifi,2,string_ch04_Fifi_6009,,,,,,,
6091,17,910,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6092,17,920,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6001,,,,,,,
6093,17,930,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6002,,,,,,,
6094,17,940,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6002,,,,,,,
6095,17,950,speaker_Lulu,,speaker_Bambi,0,string_ch05_Lulu_6001,,,,,,,
6096,17,960,speaker_Lulu,,speaker_Bambi,2,string_ch05_Bambi_6001,,,,,,,
6097,17,970,speaker_Uni,speaker_Milo,speaker_Ollie,0,string_ch05_Uni_6001,,,,,,,
6098,17,980,speaker_Uni,speaker_Milo,speaker_Ollie,1,string_ch05_Milo_6001,,,,,,,
6099,18,990,speaker_Uni,speaker_Milo,speaker_Ollie,2,string_ch05_Ollie_6001,,,,가구 배치율 50%에 출력,,,
6100,18,1000,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6003,,,,,,,
6101,18,1010,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6003,,,,,,,
6102,18,1020,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6004,,,,,,,
6103,19,1030,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6005,,,,가구 배치율 100%에 출력,,,
6104,19,1040,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6004,,,,,,,
6105,19,1050,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6006,,,,,,,
6106,19,1060,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6005,,,,,,,
6107,19,1070,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6007,,,,,,,
6108,19,1080,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6006,,,,,,,
6109,19,1090,speaker_meow,,speaker_Fifi,2,string_ch05_Fifi_6008,,,,,,,
6110,19,1100,speaker_meow,,speaker_Fifi,0,string_ch05_meow_6007,,,,,,,
6111,20,1110,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6112,20,1120,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6001,,,,,,,
6113,20,1130,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6002,,,,,,,
6114,20,1140,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6002,,,,,,,
6115,20,1150,speaker_Kiki,,speaker_Leo,0,string_ch06_Kiki_6001,,,,,,,
6116,20,1160,speaker_Kiki,,speaker_Leo,2,string_ch06_Leo_6001,,,,,,,
6117,21,1170,speaker_Lulu,,speaker_momo,0,string_ch06_Lulu_6001,,,,가구 배치율 50%에 출력,,,
6118,21,1180,speaker_Lulu,,speaker_momo,2,string_ch06_momo_6001,,,,,,,
6119,21,1190,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6003,,,,,,,
6120,21,1200,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6003,,,,,,,
6121,21,1210,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6004,,,,,,,
6122,21,1220,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6004,,,,,,,
6123,22,1230,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6005,,,,가구 배치율 100%에 출력,,,
6124,22,1240,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6005,,,,,,,
6125,22,1250,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6006,,,,,,,
6126,22,1260,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6006,,,,,,,
6127,22,1270,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6007,,,,,,,
6128,22,1280,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6007,,,,,,,
6129,22,1290,speaker_meow,,speaker_Fifi,2,string_ch06_Fifi_6008,,,,,,,
6130,22,1300,speaker_meow,,speaker_Fifi,0,string_ch06_meow_6008,,,,,,,
6131,23,1310,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6132,23,1320,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6001,,,,,,,
6133,23,1330,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6002,,,,,,,
6134,23,1340,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6002,,,,,,,
6135,24,1350,speaker_Toto,,speaker_Kiki,0,string_ch07_Toto_6001,,,,가구 배치율 50%에 출력,,,
6136,24,1360,speaker_Toto,,speaker_Kiki,2,string_ch07_Kiki_6001,,,,,,,
6137,24,1370,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6003,,,,,,,
6138,24,1380,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6003,,,,,,,
6139,24,1390,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6004,,,,,,,
6140,24,1400,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6004,,,,,,,
6141,25,1410,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6005,,,,가구 배치율 100%에 출력,,,
6142,25,1420,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6005,,,,,,,
6143,25,1430,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6006,,,,,,,
6144,25,1440,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6006,,,,,,,
6145,25,1450,speaker_meow,,speaker_Fifi,2,string_ch07_Fifi_6007,,,,,,,
6146,25,1460,speaker_meow,,speaker_Fifi,0,string_ch07_meow_6008,,,,,,,
6147,26,1470,speaker_meow,,speaker_Fifi,2,string_ch08_Fifi_6001,,,,가구 배치율 0%에 출력,,,
6148,26,1480,speaker_meow,,speaker_Fifi,0,string_ch08_meow_6001,,,,,,,
6149,27,1490,speaker_Lulu,speaker_Toto,speaker_Bambi,0,string_ch08_Lulu_6001,,,,가구 배치율 50%에 출력,,,
6150,27,1500,speaker_Lulu,speaker_Toto,speaker_Bambi,1,string_ch08_Toto_6001,,,,,,,
6151,27,1510,speaker_Lulu,speaker_Toto,speaker_Bambi,2,string_ch08_Bambi_6001,,,,,,,
6152,27,1520,speaker_Leo,speaker_momo,speaker_Kiki,0,string_ch08_Leo_6001,,,,,,,
6153,27,1530,speaker_Leo,speaker_momo,speaker_Kiki,1,string_ch08_momo_6001,,,,,,,
6154,27,1540,speaker_Leo,speaker_momo,speaker_Kiki,2,string_ch08_Kiki_6001,,,,,,,
6155,27,1550,speaker_Uni,speaker_Milo,speaker_Ollie,0,string_ch08_Uni_6001,,,,,,,
6156,27,1560,speaker_Uni,speaker_Milo,speaker_Ollie,1,string_ch08_Milo_6001,,,,,,,
6157,27,1570,speaker_Uni,speaker_Milo,speaker_Ollie,2,string_ch05_Ollie_6001,,,,,,,
6158,28,1580,speaker_meow,,speaker_Fifi,2,string_ch08_Fifi_6002,,,,가구 배치율 100%에 출력,,,
6159,28,1590,speaker_meow,,speaker_Fifi,0,string_ch08_meow_6002,,,,,,,
6160,28,1600,speaker_meow,,speaker_Fifi,2,string_ch08_Fifi_6003,,,,,,,
6161,28,1610,speaker_meow,,speaker_Fifi,0,string_ch08_meow_6004,,,,,,,
